feature,country_count,rest_count,log_odds,weighted_score,feature_type,country
mixed_dried_fruit,1,1,4.815662619748743,6.484644103452124,ingredient,Cuba
lime_zest,1,1,4.815662619748743,6.484644103452124,ingredient,Cuba
yucca,1,1,4.815662619748743,6.484644103452124,ingredient,Cuba
green_bell_pepper,3,16,3.514175865599794,5.950016958832097,ingredient,Cuba
prune,1,2,4.409618640423256,5.937876004400236,ingredient,Cuba
ham + olive,3,13,3.7100816617645394,6.281714305263787,pair,Cuba
nutmeg + raisin,3,14,3.6405058698297204,6.163912249314123,pair,Cuba
ham + tomato,3,15,3.5753840882498342,6.0536514884390975,pair,Cuba
brown_sugar + cinnamon,2,8,3.787099150081893,5.867375982424154,pair,Cuba
ham + olive_oil,2,9,3.681157408020026,5.70323979050625,pair,Cuba
sausage_casing,1,1,4.746090877044469,6.390960632096795,ingredient,Cyprus
dried_mint,1,1,4.746090877044469,6.390960632096795,ingredient,Cyprus
bulgur_wheat,1,1,4.746090877044469,6.390960632096795,ingredient,Cyprus
fresh_basil,1,1,4.746090877044469,6.390960632096795,ingredient,Cyprus
mastic,1,2,4.340046562432999,5.844192081557657,ingredient,Cyprus
lemon_juice + paprika,5,15,4.067276972514023,7.711067987251631,pair,Cyprus
lemon + paprika,5,21,3.745314465865809,7.100665795591748,pair,Cyprus
beef + lemon_juice,3,11,3.784772214767829,6.40817640449577,pair,Cyprus
cinnamon + olive,3,12,3.7041469262447246,6.271665924551043,pair,Cyprus
cinnamon + olive_oil,3,12,3.7041469262447246,6.271665924551043,pair,Cyprus
icing_sugar,3,9,3.697664283669669,6.260689856552511,ingredient,Denmark
ground_allspice,1,1,4.507383257361489,6.069523255633099,ingredient,Denmark
herring,1,1,4.507383257361489,6.069523255633099,ingredient,Denmark
beetroot_slice,1,1,4.507383257361489,6.069523255633099,ingredient,Denmark
leftover_meat,1,1,4.507383257361489,6.069523255633099,ingredient,Denmark
icing_sugar + sugar,3,9,3.697664283669669,6.260689856552511,pair,Denmark
butter + icing_sugar,2,8,3.4587672334836332,5.358689326657493,pair,Denmark
allspice + clove,2,11,3.1693353793080643,4.910270776617286,pair,Denmark
egg_white + sugar,2,13,3.0140164750488796,4.669634243917298,pair,Denmark
almond + sugar,5,57,2.4420471403302195,4.629827684324201,pair,Denmark
green_plantain,2,2,5.25922997783999,8.14815731913335,ingredient,Dominican Republic
lime_zest,1,1,5.154446996128335,6.940842197484352,ingredient,Dominican Republic
yucca,1,1,5.154446996128335,6.940842197484352,ingredient,Dominican Republic
mixed_dried_fruit,1,1,5.154446996128335,6.940842197484352,ingredient,Dominican Republic
pork_crackling,1,1,5.154446996128335,6.940842197484352,ingredient,Dominican Republic
garlic + plantain,3,14,4.048300623720694,6.854368787111762,pair,Dominican Republic
nutmeg + raisin,3,14,4.048300623720694,6.854368787111762,pair,Dominican Republic
brown_sugar + cinnamon,2,8,4.157145463461131,6.440691009430772,pair,Dominican Republic
coconut_milk + scallion,2,8,4.157145463461131,6.440691009430772,pair,Dominican Republic
lime_juice + vegetable,2,8,4.157145463461131,6.440691009430772,pair,Dominican Republic
achiote,6,6,5.2545976591917105,10.367085116303432,ingredient,Ecuador
ripe_banana,2,0,5.988961416889864,9.278734721367053,ingredient,Ecuador
squash,2,0,5.988961416889864,9.278734721367053,ingredient,Ecuador
plantain,5,22,3.7961728830993002,7.197087238159269,ingredient,Ecuador
chicharron,2,3,4.600930441730056,7.128249803025972,ingredient,Ecuador
achiote + onion,6,6,5.2545976591917105,10.367085116303432,pair,Ecuador
achiote + garlic,6,6,5.2545976591917105,10.367085116303432,pair,Ecuador
butter + cilantro,4,7,4.5833427829435704,8.271645603218872,pair,Ecuador
garlic + plantain,4,13,4.020236590068379,7.255397182573798,pair,Ecuador
peanut + potato,3,7,4.273187854639731,7.2351359680862615,pair,Ecuador
lemon_juice,14,131,2.8935233520585095,6.811426599776504,ingredient,Egypt
basil_seed,1,1,4.314003789453699,5.809123571246075,ingredient,Egypt
fava_bean,2,5,3.662978725681779,5.6750754462637065,ingredient,Egypt
cumin,11,125,2.4583044005939305,5.512632876713411,ingredient,Egypt
cayenne_pepper,3,13,3.14520731657565,5.325298900336573,ingredient,Egypt
cumin + lemon_juice,9,25,3.771876373684904,8.114409529016553,pair,Egypt
cumin + olive_oil,8,20,3.818496947417323,8.01354461809166,pair,Egypt
cumin + lemon,9,32,3.5293270055812576,7.592614881257616,pair,Egypt
cumin + olive,8,25,3.6019773368895067,7.559153902700352,pair,Egypt
lemon_juice + oil,12,68,3.2556781571572,7.43100295580816,pair,Egypt
lingonberry_jam,2,1,4.9122678139294,7.610606706735235,ingredient,Finland
salmon,2,1,4.9122678139294,7.610606706735235,ingredient,Finland
rye_flour,2,2,4.506221817045099,6.981517148880141,ingredient,Finland
allspice,7,33,3.346507495365535,6.825940848068553,ingredient,Finland
cream_of_mushroom_soup,1,1,4.4555094114336855,5.999671304680466,ingredient,Finland
allspice + onion,7,18,3.937265622615754,8.030922470763317,pair,Finland
allspice + bay_leaf,4,10,3.8243307939036337,6.901842278602489,pair,Finland
allspice + potato,3,7,3.8642323415917974,6.542714094194707,pair,Finland
allspice + butter,3,9,3.6399226093874053,6.162924703540685,pair,Finland
bay_leaf + dill,2,8,3.40411709176549,5.274019526304848,pair,Finland
bouquet_garni,3,0,4.6521730395834275,7.8768136654476715,ingredient,France
almond_extract,5,3,3.7013019741124933,7.01722340440677,ingredient,France
almond_flour,2,0,4.3489867805956814,6.737911940804469,ingredient,France
creme_fraiche,2,0,4.3489867805956814,6.737911940804469,ingredient,France
choux_pastry,2,0,4.3489867805956814,6.737911940804469,ingredient,France
thyme + wine,9,5,3.8721584068642185,8.33014551954278,pair,France
broth + thyme,6,6,3.3103036644220825,6.531080412949045,pair,France
bay_leaf + thyme,12,23,2.790514217464757,6.369278042001512,pair,France
parsley + thyme,9,14,2.9504703605383438,6.347324895286523,pair,France
tomato_paste + wine,5,6,3.139892463723044,5.95285849083983,pair,France
fresh_parsley,2,2,3.9459851613279606,6.113539055896416,ingredient,Georgia
fenugreek,4,9,3.311249144999216,5.975874100737585,ingredient,Georgia
coriander,13,98,2.337505409299327,5.42191080101268,ingredient,Georgia
dill,6,27,2.6741486494265287,5.275975147927349,ingredient,Georgia
cow_foot,1,1,3.9167178497323536,5.27414881702775,ingredient,Georgia
coriander + parsley,6,7,3.938732086522323,7.770941457309123,pair,Georgia
cilantro + parsley,8,13,3.69835819806848,7.76141996236296,pair,Georgia
coriander + vinegar,7,10,3.7871368803781933,7.7247017569212915,pair,Georgia
coriander + onion,12,52,2.871927245406828,6.55510121679809,pair,Georgia
dill + tomato,4,7,3.5355684754024375,6.380707448562195,pair,Georgia
bratwurst,2,0,4.449408038953196,6.893495213399524,ingredient,Germany
pork_rind,2,0,4.449408038953196,6.893495213399524,ingredient,Germany
sour_milk,2,0,4.449408038953196,6.893495213399524,ingredient,Germany
bread_roll,3,1,4.060443010546419,6.874927635131006,ingredient,Germany
quark,3,1,4.060443010546419,6.874927635131006,ingredient,Germany
marjoram + pork,6,8,3.16492083074579,6.244246613498193,pair,Germany
mustard + sausage,6,9,3.058963121878217,6.035196814102592,pair,Germany
marjoram + onion,5,7,3.1111315178550982,5.89833119642046,pair,Germany
nutmeg + onion,9,20,2.7231974158821233,5.858394303427166,pair,Germany
almond + yeast,4,6,3.0452382573674455,5.495799209268405,pair,Germany
black_eyed_pea,2,2,5.05740321288492,7.835465872097396,ingredient,Ghana
millet,3,10,4.136474791539014,7.003660630751569,ingredient,Ghana
leafy_green,1,1,4.970970037703824,6.69377697084501,ingredient,Ghana
leaf,1,1,4.970970037703824,6.69377697084501,ingredient,Ghana
corn_flour,2,7,4.073677925413541,6.3113742398812045,ingredient,Ghana
millet + water,3,7,4.456670177669648,7.545798546006955,pair,Ghana
peanut + tomato,2,8,3.9553146750614494,6.127993328847359,pair,Ghana
paprika + vegetable_oil,2,10,3.753482539282908,5.815293560761599,pair,Ghana
fish + palm_oil,2,10,3.753482539282908,5.815293560761599,pair,Ghana
